GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Basketball Team Management App,com.basketball.app.model,Attendance,290,56,63,1,2,11,37,16,5,16
Basketball Team Management App,com.basketball.app.model,Attendance.AttendanceStatus,0,27,0,0,0,2,0,1,0,1
Basketball Team Management App,com.basketball.app.model,EventLiveAction,505,56,103,1,7,11,68,15,16,15
Basketball Team Management App,com.basketball.app.model,Event,663,117,142,0,1,24,80,33,9,33
Basketball Team Management App,com.basketball.app.model,TrainingStatistics,240,65,58,6,3,14,35,16,4,15
Basketball Team Management App,com.basketball.app.model,Statistics,1186,370,288,28,21,52,167,61,5,54
Basketball Team Management App,com.basketball.app.model,EventNominatedPlayer,272,39,55,1,4,9,38,9,10,9
Basketball Team Management App,com.basketball.app.model,Statistics.StatType,0,9,0,0,0,2,0,1,0,1
Basketball Team Management App,com.basketball.app.model,Export.ExportFormat,0,27,0,0,0,2,0,1,0,1
Basketball Team Management App,com.basketball.app.model,Message,320,23,62,0,8,4,46,6,15,6
Basketball Team Management App,com.basketball.app.model,EventLiveAction.ActionType,0,27,0,0,0,5,0,1,0,1
Basketball Team Management App,com.basketball.app.model,PoslnovanieStats,106,16,23,1,2,3,17,4,5,4
Basketball Team Management App,com.basketball.app.model,Event.EventType,0,15,0,0,0,2,0,1,0,1
Basketball Team Management App,com.basketball.app.model,Export,326,29,63,1,9,6,47,6,15,6
Basketball Team Management App,com.basketball.app.model,BehStats,100,22,23,1,0,5,15,6,3,6
Basketball Team Management App,com.basketball.app.model,User,416,330,108,18,1,28,66,37,6,34
Basketball Team Management App,com.basketball.app.model,EventReferee,271,32,55,1,5,7,39,8,11,8
Basketball Team Management App,com.basketball.app.model,TrainingStatistics.TrainingCategory,0,21,0,0,0,2,0,1,0,1
Basketball Team Management App,com.basketball.app.model,StrelbaStats,174,28,40,0,2,5,25,8,5,8
Basketball Team Management App,com.basketball.app.model,User.Role,0,27,0,0,0,2,0,1,0,1
Basketball Team Management App,com.basketball.app.model,Category,191,138,48,6,1,15,33,16,6,16
Basketball Team Management App,com.basketball.app.model,Export.ExportStatus,0,21,0,0,0,2,0,1,0,1
Basketball Team Management App,com.basketball.app.model,EventLiveAction.TeamSide,0,15,0,0,0,3,0,1,0,1
Basketball Team Management App,com.basketball.app.model,EventOpponentPlayer,196,21,39,1,4,6,30,5,10,5
Basketball Team Management App,com.basketball.app.repository,UserRepository,10,0,2,0,1,0,2,0,1,0
Basketball Team Management App,com.basketball.app.repository,TrainingStatisticsRepository,25,12,8,2,7,3,7,1,1,1
Basketball Team Management App,com.basketball.app.util,SeasonHelper,3,15,0,0,1,3,1,2,1,2
Basketball Team Management App,com.basketball.app.util,PlayerNameFormatter,2,24,1,3,1,7,1,3,0,2
Basketball Team Management App,com.basketball.app.util,PasswordGenerator,3,114,0,6,1,20,1,7,1,4
Basketball Team Management App,com.basketball.app.util,UserNames,25,145,9,17,6,32,9,11,0,7
Basketball Team Management App,com.basketball.app,BasketballTeamManagementApplication,5,3,0,0,2,1,1,1,1,1
Basketball Team Management App,com.basketball.app.service,TrainingStatisticsService,482,379,121,50,89,87,96,12,10,10
Basketball Team Management App,com.basketball.app.service,EventNominationService.NormalizedNomination,0,12,0,0,0,1,0,1,0,1
Basketball Team Management App,com.basketball.app.service,AttendanceExportService,423,302,47,19,75,66,37,13,6,10
Basketball Team Management App,com.basketball.app.service,PasswordResetService,87,179,15,15,22,43,16,7,2,6
Basketball Team Management App,com.basketball.app.service,MatchStatsTemplateExportService,837,58,140,4,131,16,87,4,16,3
Basketball Team Management App,com.basketball.app.service,EventLiveActionService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Basketball Team Management App,com.basketball.app.service,UserService,806,593,92,52,161,122,78,32,19,19
Basketball Team Management App,com.basketball.app.service,EventLiveActionService,546,365,96,26,102,76,67,12,8,10
Basketball Team Management App,com.basketball.app.service,EventRefereeService.NormalizedRef,0,9,0,0,0,1,0,1,0,1
Basketball Team Management App,com.basketball.app.service,EventRefereeService,37,235,15,21,7,56,16,10,1,7
Basketball Team Management App,com.basketball.app.service,EventNominationService,294,206,44,18,64,51,33,8,4,6
Basketball Team Management App,com.basketball.app.service,CategoryService,600,330,62,32,118,71,55,22,19,11
Basketball Team Management App,com.basketball.app.service,ChartService,800,502,130,32,124,95,88,13,12,8
Basketball Team Management App,com.basketball.app.service,EventOpponentService,109,204,23,17,23,48,20,9,3,6
Basketball Team Management App,com.basketball.app.service,AuthService,5,82,0,0,0,19,1,4,1,4
Basketball Team Management App,com.basketball.app.service,AttendanceService,290,416,28,22,51,85,28,18,9,12
Basketball Team Management App,com.basketball.app.service,EventLiveActionService.Summary,0,36,0,0,0,6,0,1,0,1
Basketball Team Management App,com.basketball.app.service,EventService,394,1131,89,113,75,235,75,62,5,30
Basketball Team Management App,com.basketball.app.service,StatisticsService,180,1085,51,95,14,204,57,50,7,27
Basketball Team Management App,com.basketball.app.service,UserService.new Object() {...},15,0,0,0,5,0,1,0,1,0
Basketball Team Management App,com.basketball.app.dto,CategoryUpdateRequest,164,31,38,0,0,5,23,9,4,9
Basketball Team Management App,com.basketball.app.dto,ForgotPasswordRequest,75,0,14,0,2,0,14,0,7,0
Basketball Team Management App,com.basketball.app.dto,EventUpdateRequest,494,101,118,0,0,15,63,29,4,29
Basketball Team Management App,com.basketball.app.dto,TrainingStatisticsCreateRequest,428,87,102,0,0,13,55,25,4,25
Basketball Team Management App,com.basketball.app.dto,UserUpdateRequest,296,59,70,0,0,9,39,17,4,17
Basketball Team Management App,com.basketball.app.dto,EventRefereeItemRequest,98,17,22,0,0,3,15,5,4,5
Basketball Team Management App,com.basketball.app.dto,EventOpponentsRequest,75,0,14,0,2,0,14,0,7,0
Basketball Team Management App,com.basketball.app.dto,StatisticsCreateRequest,230,45,54,0,0,7,31,13,4,13
Basketball Team Management App,com.basketball.app.dto,EventRefereesRequest,75,0,14,0,2,0,14,0,7,0
Basketball Team Management App,com.basketball.app.dto,EventNominationsRequest,102,13,22,0,0,3,16,4,5,4
Basketball Team Management App,com.basketball.app.dto,BulkAttendanceRecordRequest,98,17,22,0,0,3,15,5,4,5
Basketball Team Management App,com.basketball.app.dto,EventCreateRequest,626,137,150,0,0,19,79,37,4,37
Basketball Team Management App,com.basketball.app.dto,EventCreateRequest.RecurrencePattern,0,21,0,0,0,2,0,1,0,1
Basketball Team Management App,com.basketball.app.dto,AttendanceRecordRequest,164,31,38,0,0,5,23,9,4,9
Basketball Team Management App,com.basketball.app.dto,TrainingStatisticsUpdateRequest,395,80,94,0,0,12,51,23,4,23
Basketball Team Management App,com.basketball.app.dto,EventLiveActionCreateRequest,320,35,70,0,4,5,46,10,11,10
Basketball Team Management App,com.basketball.app.dto,EventNominationItemRequest,135,20,30,0,0,4,20,6,5,6
Basketball Team Management App,com.basketball.app.dto,PasswordChangeRequest,131,24,30,0,0,4,19,7,4,7
Basketball Team Management App,com.basketball.app.dto,BulkAttendanceRecordRequest.AttendanceRecordItem,102,13,22,0,0,3,16,4,5,4
Basketball Team Management App,com.basketball.app.dto,CategoryCreateRequest,166,39,40,2,1,6,25,9,4,9
Basketball Team Management App,com.basketball.app.dto,ResetPasswordRequest,131,24,30,0,0,4,19,7,4,7
Basketball Team Management App,com.basketball.app.dto,UserCreateRequest,362,81,86,0,0,11,47,21,4,21
Basketball Team Management App,com.basketball.app.dto,StatisticsUpdateRequest,164,31,38,0,0,5,23,9,4,9
Basketball Team Management App,com.basketball.app.security,CustomUserDetailsService,0,58,1,3,0,12,1,5,0,4
Basketball Team Management App,com.basketball.app.security,JwtTokenFilter,6,71,0,8,2,19,0,7,0,3
Basketball Team Management App,com.basketball.app.security,SecurityConfig,151,0,2,0,26,0,10,0,9,0
Basketball Team Management App,com.basketball.app.security,JwtAuthenticationEntryPoint,0,10,0,0,0,3,0,2,0,2
Basketball Team Management App,com.basketball.app.security,RoleBasedAccessControl,12,74,6,10,4,15,7,8,1,6
Basketball Team Management App,com.basketball.app.security,JwtTokenProvider,0,120,0,2,0,34,0,11,0,10
Basketball Team Management App,com.basketball.app.controller,EventController,212,307,8,8,63,70,10,23,4,21
Basketball Team Management App,com.basketball.app.controller,LocationController,61,24,4,2,15,7,3,2,0,2
Basketball Team Management App,com.basketball.app.controller,UserController,101,435,17,27,23,88,17,29,2,22
Basketball Team Management App,com.basketball.app.controller,TrainingStatisticsController,45,89,0,0,15,23,0,8,0,8
Basketball Team Management App,com.basketball.app.controller,AttendanceController,100,226,0,0,31,56,0,13,0,13
Basketball Team Management App,com.basketball.app.controller,AuthController,33,42,1,1,7,13,3,3,2,3
Basketball Team Management App,com.basketball.app.controller,StatisticsController,63,240,0,0,21,57,0,13,0,13
Basketball Team Management App,com.basketball.app.controller,AuthController.LoginRequest,0,17,0,0,0,7,0,5,0,5
Basketball Team Management App,com.basketball.app.controller,LocationController.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Basketball Team Management App,com.basketball.app.controller,CategoryController,178,138,6,10,43,34,12,11,7,8
Basketball Team Management App,com.basketball.app.controller,TestController,25,134,4,8,6,30,4,4,0,2
Basketball Team Management App,com.basketball.app.controller,RootController,0,39,0,0,0,8,0,2,0,2
Basketball Team Management App,com.basketball.app.controller,ChartController,22,68,0,0,5,18,0,5,0,5
Basketball Team Management App,com.basketball.app.controller,HealthController,0,25,0,0,0,6,0,2,0,2
Basketball Team Management App,com.basketball.app.config,DataInitializer,3106,0,292,0,575,0,177,0,28,0
Basketball Team Management App,com.basketball.app.config,WebConfig,0,119,0,0,0,19,0,3,0,3
Basketball Team Management App,com.basketball.app.config,CorsConfig,23,116,6,6,4,31,7,13,1,13
